name,title,date,shade,rating,body
Covergirl: Clean Fresh Skin Milk Foundation,Allergic! + too thin/streaky.,"July 18, 2020",520 Fair,1,"PLEASE post the ingredients on the Amazon listing! I'm allergic to Limonene. I guess I should have looked up the ingredients of the product on another site. This made my face itch/burn. I have a citrus allergy and can't use products with Limonene. I have never even seen a foundation with limonene before ... *smh* I've yet to find an affordable ""free from"" foundation. My hopes were high and even though I like a medium weight foundation, I thought I'd try this lightweight to see if I liked it. I have BB and CC cream thicker than this.Disappointing all-round."
Covergirl: Clean Fresh Skin Milk Foundation,Awful,"March 7, 2020",530 Fair/Light,1,"Goes on well but few hours later I notice the skin on my face feels very 'pitted'. I have no acne scars or have had issues with pitted feeling skin before. My face just felt...clumpy. Day 2 I tried a different primer and once again a few hours later my skin feels lumpy/pitted. After washing it off and applying a different foundation the following day, no pitty feeling so I know this foundation had something to do with it. Might work for others but definitely not for me :("
Covergirl: Clean Fresh Skin Milk Foundation,GRITTY— gross!!!,"January 2, 2022",520 Fair,1,"I bought this foundation in two shades since it was on sale for less than $5, and I typically fall between the lightest and second lightest shade where foundation is concerned. I got porcelain and fair. Tried porcelain last night and while it does seem nice, it was also a bit light (as expected.) Today I tried fair, and after prepping my skin I started applying with a damp beauty blender sponge. IMMEDIATELY I noticed tons of grittiness, and I thought my sponge was dissolving on my face, but when I looked at it it seemed fine. Rinsed sponge thoroughly with soap and water, washed my face, and then applied the product to the back of my hand and spread it out with my fingers. Yeah, tons of little clumps in the product. I don’t know what they are, but the fair shade is immediately getting returned. I’ll keep porcelain since it seems fine, but I will not be repurchasing this item."
Covergirl: Clean Fresh Skin Milk Foundation,Tinted Moisturizer,"May 6, 2020",600 Rich,3,"This does feel lightweight on the skin,it has a weird smell kinda like peanut butter lol I don’t know but a weird not horrible smell. I did feel a lil tingling on my skin didn’t last long but did notice that upon application. The color is definitely off I’m in NC45 shade in Mac foundations and I got 600 rich and it’s too light, color pay off is more of a tinted moisturizer. I’m almost tempted to get the next shade up but don’t want to waste my money if that shade doesn’t work out. One other thing is this didn’t have a seal on it that you peel off before applying not sure if that’s normal but wanted to mention so you are aware. I think I could/would like this tinted moisturizer if I could find my shade despite the weird smell. Hope this helps!"
Covergirl: Clean Fresh Skin Milk Foundation,Absolutley love it of all make up,"November 18, 2021",510 Porcelain,5,"I love how it went on, how lite it feels on my skin and the youtfull appearance it gives my skin, I have procelian,  fair skin, and this fair matches exactly and I bought the next shade darker to contor...I have purchased very exspencive make ups from Ulta Beauty and paid very huge credit card balances, but I found this to give me a more youthful appeance ...I DO get diamond microdermabrasion once a month, and have a skin routine with great products to take care of my skin and I put a lot of money into products, so I was quite surprised I have fallen in love with these products.....quite quite surprised to say the least ..I could have saved myself 100s of dollars..if I had know about these products years ago..All I can say is Thank God I've found them now....and I wish they came in larger sizes....love them."
Covergirl: Clean Fresh Skin Milk Foundation,Good Daily Foundation but NOT Dewy OR Moisturizing,"January 6, 2022",540 Light,4,"Overall I liked the product. I got the shade Ivory. It looks very dark in the tube but blended out its perfect. However.........this is VERY runny. DO NOT hold the tube upside down it just leaks out everywhere via gravity. This is touted as a moisturizing formula with a dewy finish. It's NOT. It actually felt somewhat drying on my normal skin. The finish would be like a satin. It was nice actually, but if you actually have dry skin this is NOT for you. It was lightweight and gave a nice light coverage, slightly more than a tinted moisturizer and I could build it up a bit. The wear is better than expected and lasted all day. Its nice for daily wear, and a no makeup look, especially for less than $5.....but it's not as mind blowing as social media has hyped it up to be."
Covergirl: Clean Fresh Skin Milk Foundation,For the gym,"February 23, 2021",550 Light/Medium,2,"I have a container of products that don’t quite make the cut that I wear specifically to the gym because I paid for them and I’m not wearing them anywhere special… This wouldn’t even be sufficient from a working at home standpoint as it has very little coverage. I think the terminology “skin milk“ is Very suitable for this product. It is watery and at first glance you would want to apply it with your hands, but then moving the product around is difficult so you’ll need a sponge. Under no circumstances is would I use A brush. I did get this product for four dollars I would never dream of spending full price for this product. If I had a 13-year-old daughter I would suggest this as her first introductory face product. I guess that’s why they call it “cover girl” , and not cover woman. Just for reference I typically use Anastasia Beverly Hills as my stable foundation. I think the packaging is cute, it is small as well."
Covergirl: Clean Fresh Skin Milk Foundation,Good for price,"November 24, 2020",,4,"This is a good product for the price!Pros- it’s very cheap & looks airbrushed. Also, I have acne prone skin and it doesn’t seem to break me out. I also have dry and sensitive skin and it seems to be good for that.Cons- It has some kind of sparkles in it? Also there is no place in the compact to hold the sponge. The light shade pulls more of an orange tone. Might not be suitable for cooler skin tones."
Covergirl: Clean Fresh Skin Milk Foundation,Runny,"April 7, 2021",530 Fair/Light,4,"I want to preface by saying that I never intended to wear this as a full face foundation. I needed something somewhat moisturizing to ""carve"" my eyebrows. I have to pluck daily and sometimes I have dark roots showing so I use concealer to cover it up.Pros:goes on smoothlyno odorwhen used under eyebrows, works as a highlightervery inexpensiveCons:very runny consistencyif you do not store with the lid up, it will leakwhen I did try to use as a spot cover up here and there, it was too thin to cover anything"
Covergirl: Clean Fresh Skin Milk Foundation,Disappointed in New Product,"April 29, 2020",560 Medium,1,"Coty recommended this product as a ""new"" substitute for the Ready, Set, Gorgeous that was taken off the market that I have been using for years.  This product does not compare.  It not only had a terrible odor, it made my skin dryer for something that has coconut oil in it.  Very disappointed.  I sent a product review to Coty.  They have yet to give me a comparable product to try.  They blew it by getting rid of RSG."
Covergirl: Clean Fresh Skin Milk Foundation,A pleasant surprise,"November 13, 2021",550 Light/Medium,5,"I bought this cuz some chick on tiktok recommended it and I've been looking for a casual foundation (I.e. not tryna look glam, just tryna to look nice on days when I have to interview job candidates or give presentations to senior leaders). Normally I use hourglass foundation which has great full coverage but it doesn't always sit nice on the fine lines and it feels/looks a bit cakey sometimes. I must say, I don't think I have ever received more compliments on my makeup than when using this foundation. Like others mentioned it's buildable coverage but generally more sheer. That ends up being it's strength though, because it looks really natural and doesn't exaggerate lines or your skin's texture. It brightens and evens out your face. If hiding blemishes is really important to you, then you're probably not going to like this, but I have personally invested in a good skincare ritual so I don't have a ton of those to cover up myself. It feels so light and breathable that I kept forgetting I had makeup on the times I used it. Really happy with this purchase and will continue using it. It's kind to my skin and a lot cheaper than hourglass, so that's a big plus too. For reference: I'm a 30yo woman with somewhat dryer skin, little to no acne, and I love/am experienced with makeup, but I don't wear it every day."
Covergirl: Clean Fresh Skin Milk Foundation,Wonderful.,"November 7, 2021",530 Fair/Light,5,"Love this make-up. Have to tell you though, you'll have to start a whole new way of applying your make-up. Other foundations I have used allow you to take quite a bit on your finger and smooth it all over your forehead or cheek. This foundation is different. Take a small dot on your finger at a time, because it doesn't spread on your face, it's going to soak in right where you put it, very quickly. I had to learn to do a small area at a time. Love the coverage. Not oily looking at all. Looks like I finished it off with loose powder, which I don't have to do anymore. Wonderful."
Covergirl: Clean Fresh Skin Milk Foundation,Hard to find a color,"September 28, 2020",,4,"This powder is actually really good.  But the color in the picture does NOT match the actual product AT ALL!! I chose the color from the picture and my face was completely white!!  The coverage is good, but not sure how I'll actually figure out the right color."
Covergirl: Clean Fresh Skin Milk Foundation,Terrible Shade Range,"February 24, 2021",610 Rich/Deep,2,"I bought this in tan thinking it would match but it was too light, so I just put on a darker setting powder and a lot of bronzer. The good thing is it’s the definition of light coverage. There’s not much building up you can do. The strange thing is it actually lasts on my oily skin. So for me to find something that works that doesn’t look and feel like a mask was great. I liked it so much a few days later I went down TWO shades to rich/deep and it’s still a tad too light! That is definitely not rich/deep. And for some reason my first bottle was fine but the second one did have little gritty pieces in it."
Covergirl: Clean Fresh Skin Milk Foundation,Where is 130 Pressed Powder??,"April 19, 2021",,3,"I’m a fan of cover girl creamy natural pressed powder, but I switched to natural make up. When I saw covergirl made a new line without the harmful chemicals, I excitedly ordered!! First I got the 120 fair color, but it was too light and chalky. The next darkest color is 140 light pale, but I just got it and it’s too dark!!! 😭 I’m quite upset I bought it twice and still didn’t find my shade. Please make one in between 120 and 140!!! I will be going back to my Pacifica shade 1 which does match my skin tone."
Covergirl: Clean Fresh Skin Milk Foundation,Don't waste your money,"June 9, 2021",550 Light/Medium,1,"It comes in a ziploc bag, and opened, it does not have the security patch!  Looks like used, definitely not going to use this product on my face"
Covergirl: Clean Fresh Skin Milk Foundation,Used make-up?,"March 17, 2020",530 Fair/Light,2,Bought 2 shades and both bottles/tubes did not have a silver seal on the opening or a seal by the lid/tube. So is that normal or are they sold opened and used??  It does have a slighty weird smell. Had hoped this foundation would br good on my skin that can be a bit dry sometimes but even with primer the foundation crumbled on my skin within seconds.
Covergirl: Clean Fresh Skin Milk Foundation,Not great,"February 25, 2020",520 Fair,1,"This product does not blend well.  It sat on top of my skin & settled into my pores.  I tried applying w/ fingers, a sponge & a make up brush in the hopes that it would blend better but, unfortunately, it did not."
Covergirl: Clean Fresh Skin Milk Foundation,Dry clay like feeling,"April 7, 2020",570 Medium/Tan,3,I used Cover Girl as a young lady... loved it for years... switched to “better” brands... when this came out I wanted to try to it (half the cost of my mainstay) the color was fine but it was very dry - like clay on my skin... maybe just me.. but that’s my impression.. won’t buy it again. I guess it really is time to move on.
Covergirl: Clean Fresh Skin Milk Foundation,Just saw some tiny pieces,"January 22, 2021",530 Fair/Light,1,"It's so watery. Won't cover my acne marks. This will only look good if your skin is as smooth as my baby's skin. But, the color fits my skin tone perfectly. There are tiny pieces - like tissue. I'm sorry, but, is this expired or fake? Cause, the liquid is separating from the solid ingredient of the foundation. I don't want to return but what is the sense of keeping this here."
Covergirl: Clean Fresh Skin Milk Foundation,Too tacky on the skin,"September 17, 2021",530 Fair/Light,2,The color and consistency of this product is very good but unfortunately once it was applied it felt very tacky and stick it on my face and it never really dry down so after several hours it’s still so felt the same stickiness. It was too uncomfortable to wear and after two hours I had to wash it off. The color was OK but just didn’t work for me
Covergirl: Clean Fresh Skin Milk Foundation,"If you like full coverage, this isn’t your type of foundation","February 15, 2020",530 Fair/Light,3,"When applying this it has a shine to it. It felt like I was applying a bb cream with spf. Not foundation like at all, but the thing is, I do like it. I am not much of a makeup wearer, so I don’t mind that it doesn’t look matted or has excellent coverage. The color matches perfect with my skin."
Covergirl: Clean Fresh Skin Milk Foundation,Great lightweight foundation,"February 7, 2020",530 Fair/Light,5,I don’t really like foundation anymore but it’s impossible to find a BB cream in my shade. This stuff is perfect! It’s the perfect shade and has very light natural coverage that doesn’t cling to my dry patches. It sets very nicely with primer and setting powder to not be too dewy that I look oily
Covergirl: Clean Fresh Skin Milk Foundation,"Love the concept, texture is a miss","February 23, 2020",520 Fair,1,"I wanted to love this product, it’s vegan, didn’t break me out, and was pretty light weight. However, as other reviews said it becomes very chalky on the skin and looks like there’s dry clumps of foundation everywhere. I tried using a primer, using powder over it vs no powder, but It just doesn’t look natural at all"
Covergirl: Clean Fresh Skin Milk Foundation,Ugh,"May 2, 2020",540 Light,1,"I was really looking forward to try this but Didn’t even get to because when I swatched it on my hand there were little tiny hard things in it. I thought it was me so I wiped it and tried 2 more times, each time I swatched it, tiny hard particles in it :("
Covergirl: Clean Fresh Skin Milk Foundation,Irritated my skin,"May 23, 2020",580 Tan,1,"I don't have overly sensitive skin, but I had to wash this off immediately after applying a small amount to my cheek. It made my skin feel like it was burning and after washing it off, my skin was irritated for a couple days."
Covergirl: Clean Fresh Skin Milk Foundation,Dry Skin Approved! Makes Skin Look Blurred and Flawless,"August 1, 2021",,5,My new Holy Grail powder. I have dry skin and it's nearly impossible to find good powders that don't sink into fine lines and make me look crusty. This is a gorgeous powder that provides coverage and literally blurrs the skin like an ig filter. I have a full review on my YouTube channel-JLaurenGlow
Covergirl: Clean Fresh Skin Milk Foundation,texture was bad,"February 27, 2020",560 Medium,1,"I ordered both the light and medium shades. When I went to use the medium shade, it felt very gritty on my fingers. I thought maybe it was something on my hand so I washed them and tried some more. Still gritty. One more try and it was the same.  The light shade was perfect so I am not sure what happened with this one."
Covergirl: Clean Fresh Skin Milk Foundation,Pretty natural finish,"June 1, 2020",550 Light/Medium,5,"This is a very sheer coverage foundation. It’s more like a tinted moisturizer or a bb cream than actual foundation. It is beautiful on though, it’s a very natural finish. It’s says it’s buildable coverage but it doesn’t look great layered up. It does have an odd smell but that doesn’t bother me because it wears all day and looks like my skin but slightly better."
Covergirl: Clean Fresh Skin Milk Foundation,Total trash,"February 17, 2020",560 Medium,1,"The media could not be loaded.
                




   Read these reviews before purchasing. There is something solid in these bottles. I don't know what it is, but there should not be chunks in a cream makeup.It started burning within seconds of going on my face and I couldn't get it cleaned off fast enough."
Covergirl: Clean Fresh Skin Milk Foundation,Hydrating BB cream coverage!,"May 24, 2020",550 Light/Medium,5,"Works for me!I read reviews about the crumbs that ball up when you apply it, I did experience a little bit of this but not enough to bother me. Once I work it in, they dissolve.The scent to me smells a bit chocolatey.. cocoa... not too strong.. smells fine.Feels nice on my skin. Very moisturizing and hydrating. Gives me a nice fresh glow. My favorite!Coverage is just as a BB cream. Sheer with minimal coverage but evens out the skin tone and gives me life. I love that it’s paraben and all-that-other-stuff-free. I will continue using this!"
Covergirl: Clean Fresh Skin Milk Foundation,Covergirl Foundation,"November 3, 2021",520 Fair,4,"I like this foundation for the most part. It goes on nicely and evenly, and has a sheer tint to it. I'm fairskinned so I don't need anything dark at all. Only negative would be that it's a bit too runny. I'd like for it to be a bit thicker where it didn't feel like water running down my face. Otherwise, good product."
Covergirl: Clean Fresh Skin Milk Foundation,Great product for light coverage,"March 3, 2021",520 Fair,4,I buy this product all the time. It’s lightweight with just enough coverage. It’s watery NOT full coverage.  I only gave this 4 stars because u like when I purchase it from other stores... the safety sticker was missing on both tubes. These don’t look used* but the safety sticker was missing off the 2 I purchased.
Covergirl: Clean Fresh Skin Milk Foundation,Big surprise,"September 26, 2020",510 Porcelain,5,"I was excited to try out this product, and it did not disappoint. I was worried at first, because the product is very runny. I thought it wouldn't cover. However, it has a very decent coverage. It is sheer, so you need to do 2 layers over any red spots, but it really covers more than a bb cream. Also, it is so light weight. You feel like you aren't wearing anything at all. I love it"
Covergirl: Clean Fresh Skin Milk Foundation,"Looks great, feels great, stays great!","November 17, 2021",570 Medium/Tan,5,"I have been LOOKING. For a foundation like this. I'm so glad I found this thanks to TikTok. I don't know what people mean when they say it smells funky, to me it just smells like almond milk which is A+ for me. I have combination skin type and even on my oily parts of my face this foundation never budges. As for the dry parts, it's so moisturizing to where i don't cake like with other foundations. If you've been searching for a foundation forever like me and are on a budget, PLEASE try this one!! I've never seen a more waterproof foundation in my LIFE!!"
Covergirl: Clean Fresh Skin Milk Foundation,Good for some. Not for me.,"July 13, 2020",540 Light,3,"It's good for someone who already has perfect skin and just wants to add a little tint or perhaps even out slight discoloration. But as someone who has some acne pigmentation and lots of redness on and around the nose...this did nothing for me. It made my skin appear a little darker from the tone I picked and it also added moisture. Very nice. But seriously... it's like a watered-down foundation. If you're someone who's looking for ""light coverage"" then you probably don't even need foundation. Just use a concealer."
Covergirl: Clean Fresh Skin Milk Foundation,LOVE,"October 25, 2020",510 Porcelain,5,I absolutely love this foundation. It’s sheer but build able coverage and stays on better than any of my other foundations.
Covergirl: Clean Fresh Skin Milk Foundation,Contains Oil - Clogged my Pores,"July 22, 2020",520 Fair,1,"I don't understand why makeup companies continue to put oil in cosmetics.  It clogs pores and causes acne.  I was not able to locate this information until I bought the product.  After my skin broke out, I read the label."
Covergirl: Clean Fresh Skin Milk Foundation,Great for under your mask!,"September 4, 2020",560 Medium,5,"This skin milk has light pigment. I have rosacea and it peaks through a bit but I don't mind! It is definitely buildable but I only put one layer on with a skincare brush so it could potentially be covered. With a green color correcter under, it could be fully covered. I focus it on my forehead and under my eyes since my mask covers the rest. If I pull my mask off there are no awkward makeup lines which is great because I frequently pull it down when using a face shield while at work. Very light weight and hydrating!"
Covergirl: Clean Fresh Skin Milk Foundation,Awful powdery grainy formula,"August 5, 2021",570 Medium/Tan,1,"Maybe i am using this wrong. I found the perfect color for me. (never happens), but it leaves a grainy powder on the surface almost like pilling, and it’s weird. something abt the formula won’t blend well and adhere seemlessly to the skin. Ive tried with different primers and without one."
Covergirl: Clean Fresh Skin Milk Foundation,Not sure it’s legit,"November 1, 2021",520 Fair,2,"I have this product, purchased from physical store, in a lighter color. I purchased this one for a better color match. However, this product is not like the one I purchased from the store. This product seems to have some settling, when the bottle is left on its side of the dark, almost black substance seems to settle out of it. It also seems to have particulate in it, which is hard and possibly tiny bits of plastic? I threw it away out of an abundance of caution."
Covergirl: Clean Fresh Skin Milk Foundation,Drugstore Brand worth the cost,"December 2, 2021",560 Medium,4,"For sheer coverage this product does not disappoint; however, it does not last through an entire day.  As far as pores are concerned it covers so so....I think depending on which primer you use it covers them differently. For the price and convenience to purchase it is worth trying."
Covergirl: Clean Fresh Skin Milk Foundation,My favorite foundation,"April 14, 2021",560 Medium,5,"I love the ingredients and smell of this foundation. It doesn’t feel thick, it’s more buildable and lightweight so if you want more coverage just apply more. One of the only foundations that doesn’t cause breakouts on my skin, I have repurchased several times now."
Covergirl: Clean Fresh Skin Milk Foundation,Don’t second guess this. It’s incredible.,"June 4, 2020",570 Medium/Tan,5,You need this. I’m on accutane and my skin is extremely dry and will peel often. Since using this .: it makes my skin look so clean and fresh. Gives a healthy glow !! My skin looks incredible. I recommend using a brush and tapping it into your skin. Also y’all need to buy the winky lux diamond powder to set this. GAME CHANGER !!!
Covergirl: Clean Fresh Skin Milk Foundation,HORRIBLE!,"April 27, 2020",550 Light/Medium,1,"This has to be the worst makeup I’ve ever used! It feels like glue sitting on top of your face. No matter how many times I tried, I couldn’t get it to blend or rub in. It was cakey, not hydrating and all around AWFUL! I have never been one to throw out make up, I always get it to work but this is absolutely unusable! So sad because I loved their other clean make up."
Covergirl: Clean Fresh Skin Milk Foundation,Move on,"August 7, 2020",550 Light/Medium,1,"Color was a match, went on smoothly but made me breakout!! Might be a fit for some. Not worth it for me!"
Covergirl: Clean Fresh Skin Milk Foundation,Wow!,"December 9, 2021",,5,"Amazing. I used this over concealer on my under eyes and it looked great all day. Then i fell asleep in my makeup (a full 8 hours), and it looked the same when I woke up. I have very dry under eyes so they are always a problem to conceal."
Covergirl: Clean Fresh Skin Milk Foundation,I’ve never had so many issues with a foundation,"October 23, 2021",530 Fair/Light,1,"I bought this because I heard great things about it but have never disliked a foundation more. I usually have clear skin but this broke me out within one day. It’s a watery, thin consistency that somehow still feels cakey and wet on the skin no matter how much you set it. I’ve also noticed tiny plastic pieces when I apply it that prevents the foundation from blending in at all and I believe is the reason my skin feels itchy after applying it. I highly recommend not buying this foundation, I’ve gotten much better coverage and results with a drugstore BB cream"
Covergirl: Clean Fresh Skin Milk Foundation,"Don’t buy this from Amazon,Buy at a drugstore","November 16, 2021",540 Light,1,"I’ve been using this product for about 6 months. First got at a rite aid. Never any problems. I’ve read a lot of reviews on here about having “white dots” and such. I only had that issue when using the one I bought from Amazon! Never from the drug store. It looks fine when you squeeze the product out, but looks and sets horribly on the face and you get these white dots . But never experienced anything like that when I purchase this product at a drug store. Please just spent the extra $5 and buy at a drug store"
Covergirl: Clean Fresh Skin Milk Foundation,Evenly but kinda sticky,"July 18, 2020",550 Light/Medium,3,"I got the right tone for my skin, it covers most of my acne, dark circles and scars but it feels sticky for a while, that ends up ruining my eyeliner whit just blinking. That’s my only complaint, so far I like the rest of the product, it doesn’t feel heavy at all and is easy to spread"
Covergirl: Clean Fresh Skin Milk Foundation,Best for under the eyes and dry areas,"March 1, 2021",,5,"Very smoothing and almost feels hydrating, love using it under my eyes and areas that feel slightly dry (around the mouth, under eyes, between eyebrows). I have oily combo skin, so I usually use different powders for different areas of my face."
Covergirl: Clean Fresh Skin Milk Foundation,No safety seal… Not a new product!,"October 10, 2021",510 Porcelain,1,"I purchased this product in a store in the color “Fair” and purchased it here in “Porcelain” because my store was out. You can clearly see that the “Porcelain” was missing the safety seal and the weight of the tube is considerably lighter, further proving it was used. There’s no choice to return so this is going straight in the garbage!"
Covergirl: Clean Fresh Skin Milk Foundation,Watery and hardly any coverage,"February 17, 2021",560 Medium,1,This is super sheer and you can’t build it. Doesn’t blend well with concealer and wears off easily. The only good thing I can say is that since it’s such light coverage it seems to reduce the appearance of pores.
Covergirl: Clean Fresh Skin Milk Foundation,Do not buy from this vendor,"January 10, 2022",520 Fair,1,Let me say I love this foundation (very light coverage) but not from this vendor. This product arrived and it was open plus ( so safety seal and in a plastic bag with a bar code) when I applied a small amount to my hand OT was chunky and wouldn’t even squeeze out. I will be returning.
Covergirl: Clean Fresh Skin Milk Foundation,I don't recommend.,"July 21, 2020",550 Light/Medium,2,"Unfortunately, as many of the other reviews have said, Cover Girl missed the mark on this one.  It sits on top of your skin in a very unattractive way.  I've used many BB and CC creams and the one at Dollar Tree works better than this.  I tried multiple times with different tools, lighting, and even tried combining it with other creams but it just doesn't work.  I commend Cover Girl for trying to make a semi-healthier foundation so please keep working on this!"
Covergirl: Clean Fresh Skin Milk Foundation,Lightweight formula,"July 28, 2020",530 Fair/Light,3,I like the lightweight feel.  I don't think it lasts all day.  It broke up around my nose and mouth before the 8 hour mark.  I do like it under a powder foundation.  I found it worked better if you didn't moisturize your face first.
Covergirl: Clean Fresh Skin Milk Foundation,Would have been good,"November 27, 2021",,5,So I bought this concealer and couldn't wait to get it. Finally came and the bottle doesn't have any in it. It's like it was dried up or used because there isn't but a little inside.  I haven't used it but 4 times and it's empty. Not happy at all
Covergirl: Clean Fresh Skin Milk Foundation,I wish people cared more about darker shades,"November 24, 2020",,3,"Okay shade match, a little ashy. Didn’t feel comfortable wearing it. The undertones in this line are poor but what else can I expect from the drug store? They act like only paler people wear makeup"
Covergirl: Clean Fresh Skin Milk Foundation,Sticky on skin,"October 29, 2020",560 Medium,2,So I haven’t used drug store foundation in a long time but wanted something cheap and sheer for a camping trip I went on. So it gives you a slight wash of coverage which is what I wanted but it feels sticky/tacky on your face and it just feels terrible on the skin.
Covergirl: Clean Fresh Skin Milk Foundation,True to color/lightweight foundation,"March 31, 2020",570 Medium/Tan,5,This is my first time trying this product. I’m a mom of 3 and needed something to slap on my face really quickly to look ready for the day. This foundation glided on my face very smoothly and the color was spot on! It does have a funny smell but that is something I can look past. Very lightweight it feels like I have nothing on. I paired this with maybeline concealer and it looks great! Will definitely be ordering more!
Covergirl: Clean Fresh Skin Milk Foundation,Great powder,"October 21, 2021",,5,I really like this powder. After having Cancer I wanted to use a all natural makeup. I have used covergirl since being a teen . This makeup is sheer and last all day. It does not dry out your skin. I love it.
Covergirl: Clean Fresh Skin Milk Foundation,Watery and thin.,"February 16, 2021",530 Fair/Light,1,Very thin and runny. Almost like water. Color is good but not super useful due to consistency of the foundation.
